1       3734.2		0.169		0.046		0		0
2       3736.8		0.218		0.068		0		0
3       3744.7		0.765		0.070		0.150		0.038
4       3748.3		0.838		0.064		0.360		0.048
5       3750.1		0.968		0.053		0.439		0.040
6       3751.7		1.237		0.052		0.574		0.040
7       3753.4		1.377		0.051		0.748		0.042
8       3755.6		1.566		0.055		0.797		0.045
9       3756.2		1.629		0.051		0.914		0.042
10      3759.2		1.948		0.052		1.192		0.045
11      3762.4		2.385		0.058		1.534		0.051
12      3765.0		2.715		0.071		1.882		0.066
13      3767.6		3.102		0.087		2.200		0.081
14      3771.3		3.406		0.101		2.634		0.098
15      3774.2		3.714		0.111		3.067		0.111
16      3777.5		3.692		0.111		3.078		0.111
17      3780.2		3.444		0.104		2.599		0.100
18      3782.9		2.791		0.090		2.206		0.088
19      3786.9		1.995		0.072		1.627		0.073
20      3789.1		1.361		0.058		1.178		0.062
21      3792.6		0.920		0.045		0.680		0.045
22      3797.0		0.562		0.037		0.414		0.039
23      3800.3		0.424		0.035		0.241		0.037
24      3802.4		0.325		0.038		0.236		0.043
25      3807.0		0.352		0.050		0.289		0.051
26      3809.3		0.233		0.050		0.132		0.055
27      3813.5		0.060		0.049		0.153		0.066
28      3815.3		0.056		0.051		0.089		0.063
29      3822.9		0.140		0.083		0.197		0.107
30      3832.0		0.069		0.086		0.046		0.099
31      3839.0		0.237		0.105		0.254		0.124
32      3849.4		0.186		0.104		0.186		0.118
33      3855.5		0.337		0.111		0.273		0.104
34      3863.2		0.340		0.127		0.099		0.091
