1       3734.2		0
2       3736.8		0
3	3744.7		0.150
4	3748.3		0.360
5	3750.1		0.439
6	3751.7		0.574
7	3753.4		0.748
8	3755.6		0.797
9	3756.2		0.914
10	3759.2		1.192
11	3762.4		1.534
12	3765.0		1.882
13	3767.6		2.200
14	3771.3		2.634
15	3774.2		3.067
16	3777.5		3.078
17	3780.2		2.599
18	3782.9		2.206
19	3786.9		1.627
20	3789.1		1.178
21	3792.6		0.680
22	3797.0		0.414
23	3800.3		0.241
24	3802.4		0.236
25	3807.0		0.289
26	3809.3		0.132
27	3813.5		0.153
28	3815.3		0.089
29	3822.9		0.197
30	3832.0		0.046
31	3839.0		0.254
32	3849.4		0.186
33	3855.5		0.273
34	3863.2		0.099
